sex,name,max_country,freq_in_max_country,prop_in_max_country,births_in_max_country,total_anglosphere_births,countries_using_name,total_babies_with_name,average_usage_globally,average_usage_outside_country,countryness
M,Rioghan,Northern Ireland,15,4.8e-05,312492,73732634,2,51,6.9e-07,4.9e-07,97.896028
F,Abaigh,Northern Ireland,15,4.8e-05,312492,73732634,2,52,7.1e-07,5e-07,95.25019
M,Sean-paul,Northern Ireland,17,5.44e-05,312492,73732634,3,48,6.5e-07,4.2e-07,128.8438
F,Lile,Northern Ireland,17,5.44e-05,312492,73732634,4,81,1.1e-06,8.7e-07,62.408718
F,Meah,Northern Ireland,19,6.08e-05,312492,73732634,5,823,1.116e-05,1.095e-05,5.552312
M,Cailum,Northern Ireland,20,6.4e-05,312492,73732634,4,120,1.63e-06,1.36e-06,46.990094
M,Breandan,Northern Ireland,20,6.4e-05,312492,73732634,2,48,6.5e-07,3.8e-07,167.82176
F,Nainsi,Northern Ireland,20,6.4e-05,312492,73732634,3,29,3.9e-07,1.2e-07,522.11215
M,Jamie-lee,Northern Ireland,21,6.72e-05,312492,73732634,4,413,5.6e-06,5.34e-06,12.586632
F,Naomh,Northern Ireland,21,6.72e-05,312492,73732634,2,43,5.8e-07,3e-07,224.2709
M,Tajus,Northern Ireland,21,6.72e-05,312492,73732634,4,331,4.49e-06,4.22e-06,15.915999
F,Mea,Northern Ireland,21,6.72e-05,312492,73732634,5,787,1.067e-05,1.043e-05,6.4412008
M,John-james,Northern Ireland,21,6.72e-05,312492,73732634,3,268,3.63e-06,3.36e-06,19.975546
F,Rionagh,Northern Ireland,22,7.04e-05,312492,73732634,2,31,4.2e-07,1.2e-07,574.32337
M,Connaire,Northern Ireland,22,7.04e-05,312492,73732634,3,55,7.5e-07,4.5e-07,156.63365
F,Mallaidh,Northern Ireland,24,7.68e-05,312492,73732634,2,38,5.2e-07,1.9e-07,402.77223
M,Calaeb,Northern Ireland,24,7.68e-05,312492,73732634,2,30,4.1e-07,8e-08,939.80187
F,Riadh,Northern Ireland,24,7.68e-05,312492,73732634,2,79,1.07e-06,7.5e-07,102.52384
F,Katie-lee,Northern Ireland,24,7.68e-05,312492,73732634,3,55,7.5e-07,4.2e-07,181.89714
F,Anna-rose,Northern Ireland,25,8e-05,312492,73732634,5,341,4.62e-06,4.3e-06,18.587853
M,Coran,Northern Ireland,26,8.32e-05,312492,73732634,3,110,1.49e-06,1.14e-06,72.722764
M,Danann,Northern Ireland,26,8.32e-05,312492,73732634,3,68,9.2e-07,5.7e-07,145.44553
F,Katie-louise,Northern Ireland,26,8.32e-05,312492,73732634,3,346,4.69e-06,4.36e-06,19.089725
F,Amy-lee,Northern Ireland,27,8.64e-05,312492,73732634,6,275,3.73e-06,3.38e-06,25.579285
M,Bradan,Northern Ireland,27,8.64e-05,312492,73732634,4,80,1.09e-06,7.2e-07,119.69175
F,Shauneen,Northern Ireland,27,8.64e-05,312492,73732634,2,31,4.2e-07,5e-08,1585.9157
M,Orin,Northern Ireland,28,8.96e-05,312492,73732634,6,1942,2.634e-05,2.607e-05,3.4371019
F,Caela,Northern Ireland,29,9.28e-05,312492,73732634,5,70,9.5e-07,5.6e-07,166.18448
F,Amy-leigh,Northern Ireland,29,9.28e-05,312492,73732634,4,437,5.93e-06,5.56e-06,16.699911
F,Dearbhaile,Northern Ireland,30,9.6e-05,312492,73732634,2,106,1.44e-06,1.04e-06,92.743606
M,Codie,Northern Ireland,30,9.6e-05,312492,73732634,8,1947,2.641e-05,2.611e-05,3.6768461
F,Eire,Northern Ireland,31,9.92e-05,312492,73732634,3,89,1.21e-06,7.9e-07,125.57697
M,Christy,Northern Ireland,32,0.0001024,312492,73732634,5,570,7.73e-06,7.33e-06,13.974749
F,Fodhla,Northern Ireland,32,0.0001024,312492,73732634,2,60,8.1e-07,3.8e-07,268.51482
M,Pol,Northern Ireland,33,0.0001056,312492,73732634,3,42,5.7e-07,1.2e-07,861.48505
F,Radha,Northern Ireland,36,0.0001152,312492,73732634,5,421,5.71e-06,5.24e-06,21.969394
